x: 105, y: 425, z: 43, 
x: 104, y: 424, z: 44, 
x: 103, y: 423, z: 45, 
x: 102, y: 422, z: 46, 
x: 101, y: 421, z: 47, 
x: 100, y: 420, z: 48, 
x: 99, y: 419, z: 49, 
x: 98, y: 418, z: 50, 
x: 97, y: 417, z: 51, 
x: 96, y: 416, z: 52, 
x: 95, y: 415, z: 53, 
x: 94, y: 414, z: 54, 
x: 93, y: 413, z: 55, 
x: 92, y: 412, z: 56, 
x: 91, y: 411, z: 57, 
x: 90, y: 410, z: 58, 
x: 89, y: 409, z: 59, 
x: 88, y: 408, z: 60, 
x: 87, y: 407, z: 61, 
x: 86, y: 406, z: 62, 
x: 85, y: 405, z: 63, 
x: 84, y: 404, z: 64, 
x: 83, y: 403, z: 65, 
x: 82, y: 402, z: 66, 
x: 81, y: 401, z: 67, 
x: 80, y: 400, z: 68, 
x: 79, y: 399, z: 69, 
x: 78, y: 398, z: 70, 
x: 77, y: 397, z: 71, 
x: 76, y: 396, z: 72, 
x: 75, y: 395, z: 73, 
x: 74, y: 394, z: 74, 
x: 73, y: 393, z: 75, 
x: 72, y: 392, z: 76, 
x: 71, y: 391, z: 77, 
x: 70, y: 390, z: 78, 
x: 69, y: 389, z: 79, 
x: 68, y: 388, z: 80, 
x: 67, y: 387, z: 80, 
x: 66, y: 386, z: 80, 
x: 65, y: 385, z: 80, 
x: 64, y: 384, z: 80, 
x: 63, y: 383, z: 80, 
x: 62, y: 382, z: 80, 
x: 61, y: 381, z: 80, 
x: 60, y: 380, z: 80, 
x: 59, y: 379, z: 80, 
x: 58, y: 378, z: 80, 
x: 57, y: 377, z: 80, 
x: 56, y: 376, z: 80, 
x: 55, y: 375, z: 80, 
x: 54, y: 374, z: 80, 
x: 53, y: 373, z: 80, 
x: 52, y: 372, z: 80, 
x: 51, y: 371, z: 80, 
x: 50, y: 370, z: 80, 
x: 49, y: 369, z: 80, 
x: 48, y: 368, z: 80, 
x: 47, y: 367, z: 80, 
x: 46, y: 366, z: 80, 
x: 45, y: 365, z: 80, 
x: 44, y: 364, z: 80, 
x: 43, y: 363, z: 80, 
x: 42, y: 362, z: 80, 
x: 41, y: 361, z: 80, 
x: 40, y: 360, z: 80, 
x: 39, y: 359, z: 80, 
x: 38, y: 358, z: 80, 
x: 37, y: 357, z: 80, 
x: 36, y: 356, z: 80, 
x: 35, y: 355, z: 80, 
x: 35, y: 354, z: 80, 
x: 35, y: 353, z: 80, 
x: 35, y: 352, z: 80, 
x: 35, y: 351, z: 80, 
x: 35, y: 350, z: 80, 
x: 35, y: 349, z: 80, 
x: 35, y: 348, z: 80, 
x: 35, y: 347, z: 80, 
x: 35, y: 346, z: 80, 
x: 35, y: 345, z: 80, 
x: 35, y: 344, z: 80, 
x: 35, y: 343, z: 80, 
x: 35, y: 342, z: 80, 
x: 35, y: 341, z: 80, 
x: 35, y: 340, z: 80, 
x: 35, y: 339, z: 80, 
x: 35, y: 338, z: 80, 
x: 35, y: 337, z: 80, 
x: 35, y: 336, z: 80, 
x: 35, y: 335, z: 80, 
x: 35, y: 334, z: 80, 
x: 35, y: 333, z: 80, 
x: 35, y: 332, z: 80, 
x: 35, y: 331, z: 80, 
x: 35, y: 330, z: 80, 
x: 35, y: 329, z: 80, 
x: 35, y: 328, z: 80, 
x: 35, y: 327, z: 80, 
x: 35, y: 326, z: 80, 
x: 35, y: 325, z: 80, 
x: 35, y: 324, z: 80, 
x: 35, y: 323, z: 80, 
x: 35, y: 322, z: 80, 
x: 35, y: 321, z: 80, 
x: 35, y: 320, z: 80, 
x: 35, y: 319, z: 80, 
x: 36, y: 318, z: 80, 
x: 37, y: 317, z: 80, 
x: 38, y: 316, z: 80, 
x: 39, y: 315, z: 80, 
x: 40, y: 314, z: 80, 
x: 41, y: 313, z: 80, 
x: 42, y: 312, z: 80, 
x: 43, y: 311, z: 80, 
x: 44, y: 310, z: 80, 
x: 45, y: 309, z: 80, 
x: 46, y: 308, z: 80, 
x: 47, y: 307, z: 80, 
x: 48, y: 306, z: 80, 
x: 49, y: 305, z: 80, 
x: 50, y: 304, z: 80, 
x: 51, y: 303, z: 80, 
x: 52, y: 302, z: 80, 
x: 53, y: 301, z: 80, 
x: 54, y: 300, z: 80, 
x: 55, y: 299, z: 80, 
x: 56, y: 298, z: 80, 
x: 57, y: 297, z: 80, 
x: 58, y: 296, z: 80, 
x: 59, y: 295, z: 80, 
x: 60, y: 294, z: 80, 
x: 61, y: 293, z: 80, 
x: 62, y: 292, z: 80, 
x: 63, y: 291, z: 80, 
x: 64, y: 290, z: 80, 
x: 65, y: 289, z: 80, 
x: 66, y: 288, z: 80, 
x: 67, y: 287, z: 80, 
x: 68, y: 286, z: 80, 
x: 69, y: 285, z: 80, 
x: 70, y: 284, z: 80, 
x: 71, y: 283, z: 80, 
x: 72, y: 282, z: 80, 
x: 73, y: 281, z: 80, 
x: 74, y: 280, z: 80, 
x: 75, y: 279, z: 80, 
x: 76, y: 278, z: 80, 
x: 77, y: 277, z: 80, 
x: 78, y: 276, z: 80, 
x: 79, y: 275, z: 80, 
x: 80, y: 274, z: 80, 
x: 81, y: 273, z: 80, 
x: 82, y: 272, z: 80, 
x: 83, y: 271, z: 80, 
x: 84, y: 270, z: 80, 
x: 85, y: 269, z: 80, 
x: 86, y: 268, z: 80, 
x: 87, y: 267, z: 80, 
x: 88, y: 266, z: 80, 
x: 89, y: 265, z: 80, 
x: 90, y: 264, z: 80, 
x: 90, y: 263, z: 80, 
x: 90, y: 262, z: 80, 
x: 90, y: 261, z: 80, 
x: 90, y: 260, z: 80, 
x: 90, y: 259, z: 80, 
x: 90, y: 258, z: 80, 
x: 90, y: 257, z: 80, 
x: 90, y: 256, z: 80, 
x: 90, y: 255, z: 80, 
x: 90, y: 254, z: 80, 
x: 89, y: 253, z: 80, 
x: 88, y: 252, z: 80, 
x: 87, y: 251, z: 80, 
x: 86, y: 250, z: 80, 
x: 85, y: 249, z: 80, 
x: 84, y: 248, z: 80, 
x: 83, y: 247, z: 80, 
x: 82, y: 246, z: 80, 
x: 81, y: 245, z: 80, 
x: 80, y: 244, z: 80, 
x: 79, y: 243, z: 80, 
x: 78, y: 242, z: 80, 
x: 77, y: 241, z: 80, 
x: 76, y: 240, z: 80, 
x: 75, y: 239, z: 80, 
x: 74, y: 238, z: 80, 
x: 73, y: 237, z: 80, 
x: 72, y: 236, z: 80, 
x: 71, y: 235, z: 80, 
x: 70, y: 234, z: 80, 
x: 69, y: 233, z: 80, 
x: 68, y: 232, z: 80, 
x: 67, y: 231, z: 80, 
x: 66, y: 230, z: 80, 
x: 65, y: 229, z: 80, 
x: 64, y: 228, z: 80, 
x: 63, y: 227, z: 80, 
x: 62, y: 226, z: 80, 
x: 61, y: 225, z: 80, 
x: 60, y: 225, z: 80, 
x: 59, y: 225, z: 80, 
x: 58, y: 225, z: 80, 
x: 57, y: 225, z: 80, 
x: 56, y: 225, z: 80, 
x: 55, y: 225, z: 80, 
